0,1,2,3,4,5,6,7
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
7/30/2023,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,187
,,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,Main Checkpoint,63
,,BOS,General Edward Lawrence Logan International,East Boston,MA,C2,16
,,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
,,COS,City Of Colorado Springs Municipal,Colorado Springs,CO,COS Checkpoint,0
,,DCA,Ronald Reagan Washington National,Arlington,VA,Concourse A,7
,,,,,,North Checkpoint,8
,,DEN,Denver International,Denver,CO,A Bridge,0
,,,,,,South,196
,,DTW,Detroit Metropolitan Wayne County,Detroit,MI,Blue-2,15
,,,,,,Red 3,22
,,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
,,EWR,Newark Liberty International,Newark,NJ,CKPT-A1,62
,,,,,,CKPT-B3,22
,,,,,,CKPT-C1,41
,,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,45
,,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,160
,,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,FL,T1 Checkpoint,5
,,,,,,T4 Checkpoint,23
,,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,74
,,GUM,Guam International,Tamuning,GU,GUM01,189
,,IAD,Washington Dulles International,Dulles,VA,Passenger Screening Area:  PreCheck,315
,,IAH,George Bush Intercontinental/Houston,Houston,TX,40/D Terminal,60
,,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,7
,,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
,,JFK,John F Kennedy International,Jamaica,NY,Terminal 1,441
,,,,,,Terminal 4 Main,542
,,,,,,Terminal 5,200
,,,,,,Terminal 7,38
,,,,,,Terminal 8,98
,,JNU,Juneau International,Juneau,AK,JNU-01,20
,,LAS,Harry Reid International,Las Vegas,NV,Term 1 - AB,20
,,,,,,Term 1 - D,19
,,,,,,Terminal 3 - E Upper,258
,,LAX,Los Angeles International,Los Angeles,CA,TBIT Main Checkpoint,259
,,,,,,Terminal 1.5 – Passenger,3
,,,,,,Terminal 3 - Passenger,25
,,,,,,Terminal 4 - Passenger,26
,,,,,,Terminal 5 - Passenger,10
,,,,,,Terminal 7 - Passenger,12
,,LGA,LaGuardia,Flushing,NY,TB-CHK,20
,,,,,,TC CHK West,5
,,LGB,Long Beach (Daugherty Field),Long Beach,CA,Checkpoint,0
,,MCI,Kansas City International,Kansas City,MO,Passenger Screening Checkpoint,5
,,MCO,Orlando International,Orlando,FL,EAST Checkpoint,0
,,,,,,WEST Checkpoint,0
,,MDW,Chicago Midway International,Chicago,IL,Main Checkpoint,7
,,MEM,Memphis International,Memphis,TN,Int'l Arrivals,0
,,MIA,Miami International,Miami,FL,North 2,38
,,,,,,South-J1,62
,,MSP,Minneapolis-St Paul International/Wold-Chamberlain,St. Paul,MN,South CP,15
,,ONT,Ontario International,Ontario,CA,T2,73
,,ORD,Chicago O'Hare International,Chicago,IL,10,396
,,,,,,4B,18
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
7/30/2023,00:00,ORD,Chicago O'Hare International,Chicago,IL,5,13
,,,,,,6A,28
,,PDX,Portland International,Portland,OR,PDX A/B/C,17
,,,,,,PDX D/E,46
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-3 North,61
,,,,,,T-4 A,24
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,10
,,PSE,Mercedita,Ponce,PR,Mercedita Airport,46
,,RNO,Reno/Tahoe International,Reno,NV,RNO Checkpoint,59
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,170
,,SFO,San Francisco International,San Francisco,CA,Security Checkpoint A,82
,,,,,,Security Checkpoint B,4
