0,1,2,3,4,5,6,7
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
6/25/2023,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,213
,,ATL,Hartsfield Atlanta International,Atlanta,GA,Main Checkpoint,29
,,AUS,Austin Bergstrom International,Austin,TX,AUS01,3
,,BOS,Logan International,East Boston,MA,C2,31
,,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,227
,,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
,,DCA,Washington Reagan National,Arlington,VA,Concourse A,0
,,,,,,North Checkpoint,2
,,DEN,Denver International,Denver,CO,South,148
,,DTW,Detroit Metro Wayne County,Detroit,MI,Blue-2,31
,,,,,,Red 3,17
,,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
,,EWR,Newark International,Newark,NJ,CKPT-A1,41
,,,,,,CKPT-B2,3
,,,,,,CKPT-B3,44
,,,,,,CKPT-C1,103
,,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,78
,,FAT,Fresno Air Terminal,Fresno,CA,FAT 01,112
,,GSN,Saipan,Saipan,MP,GSN01,114
,,GUM,Antonio B. Won Pat International,Tamuning,GU,GUM01,4
,,HNL,Daniel K. Inouye International Airport,Honolulu,HI,HNL03,21
,,IAD,Washington-Dulles International,Dulles,VA,Passenger Screening Area:  PreCheck,320
,,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,5
,,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
,,JFK,John F. Kennedy International,Jamaica,NY,Terminal 1,300
,,,,,,Terminal 4 Main,377
,,,,,,Terminal 5,72
,,,,,,Terminal 7,0
,,,,,,Terminal 8,114
,,JNU,Juneau International,Juneau,AK,JNU-01,31
,,LAS,Harry Reid International Airport,Las Vegas,NV,Term 1 - AB,13
,,,,,,Term 1 - D,65
,,,,,,Terminal 3 - E Upper,244
,,LAX,Los Angeles International,Los Angeles,CA,TBIT Main Checkpoint,340
,,,,,,Terminal 3 - Passenger,3
,,,,,,Terminal 4 - Passenger,7
,,,,,,Terminal 5 - Passenger,24
,,,,,,Terminal 7 - Passenger,18
,,LGA,LaGuardia,Flushing,NY,TB-CHK,18
,,,,,,TC CHK West,5
,,LGB,Long Beach Daugherty Field,Long Beach,CA,Checkpoint,0
,,MCO,Orlando International,Orlando,FL,EAST Checkpoint,0
,,,,,,WEST Checkpoint,0
,,MDW,Chicago Midway,Chicago,IL,Main Checkpoint,0
,,MEM,Memphis International,Memphis,TN,Int'l Arrivals,0
,,MIA,Miami International,Miami,FL,North 2,110
,,,,,,South-J1,160
,,MSP,Minneapolis-St. Paul International,St. Paul,MN,South CP,20
,,ONT,Ontario International,Ontario,CA,T2,48
,,ORD,Chicago-OHare International,Chicago,IL,10,334
,,,,,,4B,13
,,,,,,5,23
,,,,,,6A,28
,,PBI,West Palm Beach International,West Palm Beach,FL,PBI C,4
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
6/25/2023,00:00,PDX,Portland International Airport,Portland,OR,PDX A/B/C,12
,,,,,,PDX D/E,12
,,PHX,Phoenix Sky Harbor International,Phoenix,AZ,T-3 North,6
,,,,,,T-4 A,6
,,PIT,Pittsburgh International,Pittsburgh,PA,Main Checkpoint,24
,,PSE,Mercedita,Ponce,PR,Mercedita Airport,37
,,SEA,Seattle-Tacoma International,Seattle,WA,SCP 3,88
,,SFO,San Francisco International,San Francisco,CA,Security Checkpoint A,29
,,,,,,Security Checkpoint B,7
,,,,,,Security Checkpoint D,26
,,,,,,Security Checkpoint F-1,15
,,,,,,Security Checkpoint G,46
,,SGF,Springfield/Branson National,Springfield,MO,Main Checkpoint,0
,,SJC,San Jose International,San Jose,CA,Terminal A,9
,,SJU,Luis Munoz Marin International,San Juan,PR,Checkpoint BC,278
,,SLC,Salt Lake City International,Salt Lake City,UT,Main,118
,01:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,116
,,ATL,Hartsfield Atlanta International,Atlanta,GA,Main Checkpoint,36
,,BOS,Logan International,East Boston,MA,C2,11
,,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,107
,,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
,,DCA,Washington Reagan National,Arlington,VA,Concourse A,2
,,,,,,North Checkpoint,0
,,DEN,Denver International,Denver,CO,South,83
,,DTW,Detroit Metro Wayne County,Detroit,MI,Red 3,4
,,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
,,EWR,Newark International,Newark,NJ,CKPT-A1,30
,,,,,,CKPT-B2,32
