0,1,2,3,4,5,6,7
Date,"Hour
of
Day",Airport,,City,State,Checkpoint,"Total
Pax +
KCM
PAX"
10/22/2023,00:00,ANC,Ted Stevens Anchorage International,Anchorage,AK,South Checkpoint,270
,,ATL,Hartsfield - Jackson Atlanta International,Atlanta,GA,Main Checkpoint,26
,,BQN,Rafael Hernandez,Aguadilla,PR,Rafael Hernandez Air,18
,,BTV,Burlington International,South Burlington,VT,Main Checkpoint,0
,,DCA,Ronald Reagan Washington National,Arlington,VA,Concourse A,1
,,,,,,North Checkpoint,1
,,DEN,Denver International,Denver,CO,North,0
,,,,,,South,44
,,DTW,Detroit Metropolitan Wayne County,Detroit,MI,Blue-2,5
,,,,,,Red 3,12
,,ELP,El Paso International,El Paso,TX,Consolidated Checkpoint,0
,,EWR,Newark Liberty International,Newark,NJ,CKPT-A1,14
,,,,,,CKPT-B3,44
,,,,,,CKPT-C1,23
,,FAI,Fairbanks International,Fairbanks,AK,ASAA-FAI,120
,,FAT,Fresno Yosemite International,Fresno,CA,FAT 01,105
,,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,FL,T4 Checkpoint,2
,,GSN,Francisco C Ada/Saipan International,Saipan,MP,GSN01,59
,,GUM,Guam International,Tamuning,GU,GUM01,225
,,IAD,Washington Dulles International,Dulles,VA,Passenger Screening Area:  PreCheck,209
,,IND,Indianapolis International,Indianapolis,IN,Checkpoint A,2
,,JAX,Jacksonville International,Jacksonville,FL,Main Checkpoint,0
,,JFK,John F Kennedy International,Jamaica,NY,Terminal 1,199
,,,,,,Terminal 4 Main,476
,,,,,,Terminal 5,27
,,,,,,Terminal 7,91
,,,,,,Terminal 8,90
,,LAS,Harry Reid International,Las Vegas,NV,Term 1 - AB,37
,,,,,,Term 1 - D,34
,,,,,,Terminal 3 - E Upper,380
,,LAX,Los Angeles International,Los Angeles,CA,TBIT Main Checkpoint,250
,,,,,,Terminal 3 - Passenger,11
,,,,,,Terminal 5 - Passenger,29
,,,,,,Terminal 7 - Passenger,0
