hourly_temp_2m,hourly_relative_humidity,hourly_precipitation,wind_speed_100,Airline_code
22.824001,96.71513,0.,8.4963045,FLA
22.324001,95.52784,0.,6.696387,FLA
22.274,92.642044,0.,5.937272,FLA
22.324001,89.01085,0.,6.130579,FLA
22.424002,86.846565,0.,4.6938252,FLA
22.324001,86.034294,0.,6.2145634,FLA
21.824001,87.60303,0.,6.830519,FLA
21.674002,88.68425,0.1,10.703569,FLA
21.074001,90.587715,0.1,6.439876,FLA
21.074001,89.746544,0.,4.510787,FLA
20.374,91.677765,0.,2.7416782,FLA
20.074001,90.803215,0.,4.5536795,FLA
22.424002,81.11113,0.,3.5455887,FLA
24.124,83.60915,0.,4.072935,FLA
25.974,70.84376,0.,1.2979984,FLA
27.924002,61.82033,0.,2.9024127,FLA
28.824001,61.450108,0.,7.2,FLA
29.074001,61.695244,0.,5.0911684,FLA
28.724,64.72115,0.4,6.638072,FLA
26.224,75.38097,1.4,20.140705,FLA
26.824001,75.476494,0.3,9.511088,FLA
25.474,84.27035,0.2,3.96,FLA
25.524,85.56253,0.,6.6185193,FLA
23.974,96.16084,0.1,1.9386592,FLA
28.922998,19.669683,0.,12.599998,RIW
26.473,25.655214,0.,24.379204,RIW
23.223,34.43025,0.,21.924562,RIW
20.373,44.631428,0.,21.518847,RIW
18.873,49.658173,0.,15.408671,RIW
17.522999,58.615356,0.,5.3517847,RIW
16.422998,65.867485,0.,2.6208394,RIW
14.523,75.651535,0.,5.771239,RIW
13.923,76.315575,0.,11.119281,RIW
13.273,79.610954,0.,9.904906,RIW
12.573,81.95362,0.,9.346143,RIW
12.073,80.51978,0.,14.88242,RIW
12.023,80.24136,0.,18.057508,RIW
13.523,70.07742,0.,13.18308,RIW
15.873,64.219124,0.,5.6233797,RIW
18.973,54.424606,0.,2.9024127,RIW
22.272999,44.559452,0.,3.671294,RIW
25.172998,37.800205,0.,6.4096174,RIW
27.323,33.069313,0.,8.891344,RIW
28.672998,30.158316,0.,3.219938,RIW
30.073,28.477892,0.,1.835647,RIW
30.873,24.17365,0.,1.2979984,RIW
31.473,19.407799,0.,7.628263,RIW
31.773,18.17255,0.,5.5887027,RIW
19.368,100.,3.8,7.928177,ELM
18.818,100.,0.,2.8799999,ELM
19.068,100.,0.,5.6233797,ELM
18.318,100.,0.,3.096837,ELM
17.618,100.,0.,1.8,ELM
17.518,100.,0.,6.12,ELM
17.668001,99.99999,0.,13.089354,ELM
17.618,99.685196,0.,11.923557,ELM
17.518,99.68496,0.,14.021525,ELM
17.368,100.,0.,13.755579,ELM
17.368,100.,0.2,14.021525,ELM
17.868,97.203285,0.1,14.84318,ELM
18.868,96.616776,0.,16.563911,ELM
20.318,89.410255,0.,14.255272,ELM
21.968,77.08193,0.1,19.513195,ELM
23.618,65.26531,0.,19.969458,ELM
24.768,58.82043,0.,18.892282,ELM
25.418001,54.80727,0.,16.92383,ELM
25.918001,53.035378,0.,16.516901,ELM
24.068,56.61803,0.5,17.114204,ELM
24.168001,57.19141,0.,14.408997,ELM
24.218,56.837234,0.,11.928989,ELM
24.018,59.77993,0.,12.7279215,ELM
22.218,69.47691,0.,15.459054,ELM
36.182,12.046851,0.,2.4149535,YKM
36.432,12.095682,0.,9.255571,YKM
35.982,12.442498,0.,11.304229,YKM
34.182,14.091956,0.,12.313894,YKM
30.032,31.667364,0.,29.888672,YKM
28.081999,36.040295,0.,28.277763,YKM
25.981998,40.10262,0.,24.36591,YKM
24.532,43.428185,0.,20.380579,YKM
23.481998,46.716938,0.,21.42227,YKM
22.831999,47.633263,0.,23.051247,YKM
22.132,48.56113,0.,24.590923,YKM
21.532,49.37713,0.,21.707731,YKM
19.831999,65.086266,0.1,20.240198,YKM
19.032,78.37237,5.9,11.808878,YKM
18.231998,89.81886,6.3,7.289444,YKM
18.231998,91.25643,1.5,16.563911,YKM
20.481998,64.59302,0.,20.957443,YKM
23.282,47.128048,0.,18.,YKM
25.731998,36.464893,0.,12.758432,YKM
27.282,32.836674,0.,8.4963045,YKM
28.231998,31.589449,0.,9.422101,YKM
28.632,31.175093,0.,6.792466,YKM
29.081999,29.371086,0.,8.707237,YKM
29.782,28.303385,0.,9.387651,YKM
22.026,92.91418,0.4,19.35314,JFK
21.876,94.05713,2.2,16.92383,JFK
22.075998,92.63143,1.1,25.133053,JFK
22.526,92.08892,1.,25.455843,JFK
22.876,92.95788,0.1,28.36471,JFK
23.175999,90.45198,0.3,26.712873,JFK
22.776,94.09617,0.6,26.758923,JFK
22.675999,94.09185,0.1,21.252197,JFK
22.175999,96.40405,0.,13.854155,JFK
21.925999,97.2872,0.,14.154915,JFK
21.925999,96.102356,0.,14.81259,JFK
21.976,95.22381,0.,12.984975,JFK
23.226,91.010216,0.,15.893093,JFK
24.526,83.91056,0.1,14.003029,JFK
25.575998,76.67737,0.1,15.379206,JFK
25.526,75.96662,0.2,19.373219,JFK
26.126,74.904976,0.1,19.826164,JFK
26.626,70.96306,0.2,21.603,JFK
27.276,64.41519,0.,20.945072,JFK
27.276,62.64205,0.,18.504139,JFK
27.825998,58.433784,0.,16.323528,JFK
28.175999,56.189995,0.,20.018072,JFK
27.476,59.455822,0.,24.66197,JFK
26.425999,66.26316,0.,19.67195,JFK
26.595499,76.13356,0.,6.439876,GSP
25.095499,85.00149,0.,4.452954,GSP
23.5455,77.56183,0.,19.35314,GSP
23.2455,78.73341,0.,8.049845,GSP
23.0455,85.5755,0.,11.384198,GSP
23.2455,78.73341,0.,11.183201,GSP
23.595499,71.069885,0.,15.042659,GSP
23.095499,73.478096,0.3,16.595179,GSP
22.0455,83.11299,0.9,19.164719,GSP
21.4455,96.38449,0.8,9.885262,GSP
21.2455,97.8736,0.3,9.360001,GSP
21.595499,90.06358,0.2,8.854829,GSP
20.8955,95.18551,0.2,14.4,GSP
21.3955,95.20328,0.2,7.968939,GSP
21.845499,95.21922,0.4,5.634891,GSP
23.845499,86.182274,0.1,5.506941,GSP
25.7455,76.00101,0.,5.6920996,GSP
26.595499,68.80507,0.2,7.5685663,GSP
27.345499,62.852173,0.1,7.5942073,GSP
27.595499,58.56218,0.,6.2145634,GSP
28.1955,55.32197,0.,2.8799999,GSP
28.345499,54.327732,0.,2.52,GSP
28.2955,53.80598,0.,3.319036,GSP
27.3955,59.809505,0.,6.193674,GSP
23.383,89.36646,0.,11.885453,ATL
22.983,89.61066,1.,23.598541,ATL
22.682999,94.95835,1.8,18.416384,ATL
22.383,92.363945,4.,12.096214,ATL
22.083,93.7777,3.3,8.427383,ATL
22.032999,94.93417,2.5,5.154415,ATL
21.782999,96.39354,0.7,11.874544,ATL
21.282999,96.97534,2.,13.627795,ATL
21.182999,96.97308,2.4,4.198285,ATL
21.182999,96.97308,2.7,3.7064266,ATL
21.182999,98.17407,18.1,8.891344,ATL
21.282999,96.97534,23.5,23.444265,ATL
20.983,94.60174,1.8,3.9763298,ATL
21.233,93.16089,2.3,4.3349743,ATL
22.282999,86.03032,0.2,8.854829,ATL
22.483,83.94243,0.2,9.346143,ATL
23.032999,81.948494,0.2,8.854829,ATL
23.633,80.26686,0.4,8.714677,ATL
25.432999,72.9687,0.3,8.28,ATL
26.682999,69.24762,0.1,9.793058,ATL
27.333,69.15887,0.,10.829958,ATL
27.833,66.54995,0.,11.269782,ATL
28.032999,63.98164,0.,10.30883,ATL
27.883,65.34384,0.,9.028754,ATL
27.2325,87.80345,1.6,12.864649,FLL
25.432499,88.98194,5.,13.049689,FLL
25.2325,90.31855,0.3,17.339897,FLL
25.082499,93.34962,0.2,12.475961,FLL
24.682499,95.31774,0.,10.105681,FLL
24.4825,96.46474,0.,11.165805,FLL
24.3825,97.04406,0.,10.739833,FLL
24.432499,96.17376,0.,11.269782,FLL
24.3825,96.752716,0.,11.681987,FLL
24.1325,99.10339,0.,11.457958,FLL
23.8825,99.400375,0.,9.726664,FLL
23.8825,98.803856,0.,8.209263,FLL
26.6325,94.82001,0.,5.3517847,FLL
28.832499,84.87787,0.,4.8965297,FLL
30.332499,74.01815,0.,6.638072,FLL
31.2325,68.651344,0.,12.413476,FLL
32.182503,62.753815,0.,12.849528,FLL
32.7825,58.691902,0.,12.324414,FLL
33.2825,55.8735,0.,12.7279215,FLL
32.8825,58.18692,0.1,18.782204,FLL
31.682499,65.14004,0.3,23.233253,FLL
32.1325,62.55502,0.,21.67487,FLL
31.432499,66.46872,0.,22.104116,FLL
30.582499,70.39971,0.,20.5484,FLL
27.7565,63.33262,0.,18.775303,SPS
27.1065,65.99325,0.,29.387999,SPS
26.3565,69.185196,0.,20.991426,SPS
25.3565,72.50552,0.,19.562946,SPS
24.8565,72.19297,0.,19.386593,SPS
24.6065,73.73595,0.,18.514643,SPS
24.5065,75.805984,0.,18.947083,SPS
24.3065,78.64069,0.,17.462782,SPS
